amount,browser,channel,customer_age,date,fraud,ip,isp,latitude,loginTime,longitude,lut_first_paid_date,lut_last_paid_date,minute_of_day,onceoff_vs_beneficiary,os,paymentType,region,rtc_indicator,to_acc_volume,to_bank,txn_timestamp,uuid,transactor_id
99.0,Chrome_Some(93),channel_B,,2021-09-19,0.0,41.132.79.237,MWEB,-33.9672,2021-09-19T08:10:38.000Z,25.5785,2021-08-10T06:33:08.000Z,2021-09-09T07:46:48.000Z,907.0,B,Windows_Some(10),A,ZA_EC,0,3077.0,StandardBank,2021-09-19T08:15:07.000Z,,1103255744.0
300.0,Opera_Some(79),channel_B,42.0,2021-09-28,0.0,54.240.197.227,AmazonOffice,53.3382,2021-09-28T10:47:38.000Z,-6.2591,2021-05-05T12:13:28.000Z,2021-06-02T12:23:20.000Z,195.0,B,Windows_Some(10),A,outside_ZA,0,2833.0,ABSABank,2021-09-28T10:51:15.000Z,,7631108.0
5000.0,Chrome_Some(83),channel_B,35.0,2020-06-17,0.0,102.141.177.12,Level7InternetPTYLTD,-25.8775,2020-06-17T13:48:22.000Z,28.168,2019-12-02T05:33:29.000Z,2020-05-05T06:49:28.000Z,812.0,B,Windows_Some(8),F,ZA_GP,0,12.0,FNBRMB,2020-06-17T13:49:32.000Z,,7433868.0
400.0,Chrome_Some(74),channel_B,62.0,2019-04-30,0.0,147.110.59.248,Eskomholdingssocltd,-26.3811,2019-04-30T14:13:57.000Z,27.8376,2018-10-01T09:07:40.000Z,2019-03-30T06:59:38.000Z,979.0,B,Windows_Some(7),F,ZA_GP,0,10.0,FNBRMB,2019-04-30T14:16:19.000Z,,4243300.0
2409.18,IE_Some(11),channel_B,77.0,2018-02-09,0.0,41.13.96.30,Vodacom,-25.7599,2018-02-09T19:34:10.000Z,28.2604,2017-08-06T19:34:41.000Z,2017-12-05T19:07:12.000Z,975.0,B,Windows_Some(7),A,ZA_GP,0,2125.0,ABSABank,2018-02-09T19:52:15.000Z,,5238925.0
4000.0,Chrome_Some(77),channel_B,35.0,2020-11-07,0.0,52.214.42.24,Amazoncom,53.3382,2020-11-07T20:18:03.000Z,-6.2591,2020-05-25T06:09:46.000Z,2020-11-03T20:26:42.000Z,1129.0,O,Windows_Some(10),A,outside_ZA,0,103374.0,NedbankLimited,2020-11-07T20:18:49.000Z,,1736.0
3438.27,Chrome_Some(86),channel_B,0.0,2020-10-12,0.0,41.114.94.10,MTNBusinessSolutions,-25.7599,2020-10-12T07:25:25.000Z,28.2604,2020-05-11T08:50:31.000Z,2020-09-07T13:01:00.000Z,346.0,B,Windows_Some(7),A,ZA_GP,0,2.0,ABSABank,2020-10-12T07:41:46.000Z,,7560894.0
999.0,Edge_Some(18),channel_B,46.0,2020-01-30,0.0,41.0.41.235,VodacomBusiness,-25.4635,2020-01-30T13:38:45.000Z,30.9624,2019-12-02T07:33:38.000Z,2019-12-02T07:33:38.000Z,564.0,O,Windows_Some(10),A,ZA_MP,0,169.0,StandardBank,2020-01-30T13:45:24.000Z,,1469858.0
10372.58,Firefox_Some(65),channel_B,80.0,2019-02-22,0.0,41.145.111.66,TelkomInternet,-29.0,2019-02-22T10:44:36.000Z,24.0,,,187.0,B,Windows_Some(10),R,ZA_null,0,33878.0,Undefined,2019-02-22T10:51:07.000Z,,6138749.0
450.0,,channel_B,79.0,2021-10-26,0.0,,,,,,2021-03-26T16:11:46.000Z,2021-09-25T14:18:18.000Z,1394.0,B,,F,,0,2019.0,FNBRMB,2021-10-26T07:59:14.000Z,,6227800.0
