iter	Passed	Remaining
0	108	10729
1	238	11697
2	379	12286
3	567	13616
4	708	13452
5	856	13423
6	993	13202
7	1129	12990
8	1275	12891
9	1410	12690
10	1545	12503
11	1687	12371
12	1812	12131
13	1944	11943
14	2082	11803
15	2211	11612
16	2344	11445
17	2480	11300
18	2619	11166
19	2759	11036
20	2924	11001
21	3098	10984
22	3256	10903
23	3396	10754
24	3552	10656
25	3681	10479
26	3816	10318
27	3958	10179
28	4086	10004
29	4221	9850
30	4350	9682
31	4488	9537
32	4622	9384
33	4753	9227
34	4884	9071
35	5028	8939
36	5151	8770
37	5318	8677
38	5469	8555
39	5609	8414
40	5754	8281
41	5882	8123
42	6011	7968
43	6150	7827
44	6276	7671
45	6413	7528
46	6565	7403
47	6703	7262
48	6829	7107
49	6969	6969
50	7105	6826
51	7240	6683
52	7372	6538
53	7515	6402
54	7641	6251
55	7808	6135
56	7957	6002
57	8097	5863
58	8230	5719
59	8366	5577
60	8503	5436
61	8639	5295
62	8776	5154
63	8908	5010
64	9045	4870
65	9191	4734
66	9317	4589
67	9458	4451
68	9595	4311
69	9731	4170
70	9870	4031
71	10010	3892
72	10169	3761
73	10335	3631
74	10497	3499
75	10639	3359
76	10778	3219
77	10913	3078
78	11051	2937
79	11194	2798
80	11324	2656
81	11473	2518
82	11613	2378
83	11741	2236
84	11871	2094
85	12006	1954
86	12133	1813
87	12261	1672
88	12411	1534
89	12556	1395
90	12727	1258
91	12891	1120
92	13034	981
93	13173	840
94	13311	700
95	13443	560
96	13579	419
97	13713	279
98	13839	139
99	13965	0
